_firestoreId,name,churchType,denomination,archdiocese,city,address,latitude,longitude,status,website,phone,languages,language_count,service_count
0P4SPNjqyJvo0DVvsqVL,Calvary Methodist Church,Parish,Methodist,To be updated,Hyderabad,"Calvary Temple Road, Hyder Nagar, Shilpa Avenue Colony, Hafeezpet, Hyderabad, Telangana 500049",,,active,https://calvarytemple.in/,+91 40 6908 0808,English; Telugu,2,2
1,St. Mary's Basilica,Basilica,Catholic,,Secunderabad,"St. Mary’s Basilica
H.No. 43, Sarojini Devi Road Secunderabad - 500 025, T.S.",17.4399,78.5006,active,stmarysbasilica.in,+91 40 2780 4355,English; Telugu; Tamil,3,10
10,St. Alphonsus Catholic Church,Parish,Catholic,,Hyderabad,"St. Alphonsus’ Church
Alphonse Nilayam, H.No.: 8-2-585 Road No. 9, Banjara Hills Hyderabad - 500 034, T.S.",17.4116,78.4485,active,archdioceseofhyderabad.org,+91 40 2335 1234,English; Telugu,2,3
11,St. Thomas Catholic Church,Parish,Catholic,,Hyderabad,"St. Thomas Church
H.No: 3-3-1016, Kutbiguda Badi Chowdi, Hyd - 500 027, T.S.",17.3855,78.4812,active,archdioceseofhyderabad.org,+91 40 2473 1234,English; Telugu,2,1
12,Infant Jesus Shrine,Shrine,Catholic,,Hyderabad,"Infant Jesus Shrine
Thurka Emjala P.O. Abdullapurmet Mandal R. R. Dt. - 501 510, T.S.",17.3345,78.6012,active,infantjesusshrine.org,+91 40 2000 1234,Telugu; English,2,3
13,Holy Trinity Church,Parish,Catholic,,Secunderabad,"Holy Trinity Church
1-10-67, Chikoti Gardens Begumpet, Hyderabad - 500 016, T.S.",17.4418,78.4619,active,archdioceseofhyderabad.org,+91 40 2776 1234,English; Telugu; Tamil,3,3
14,Our Lady of Lourdes Church,Parish,Catholic,,Hyderabad,"“Nirmala Parsonage”, Our Lady of Lourdes Church Bandlines, Opp. L.B. Indoor Stadium Hyderabad - 500 004, T.S.",17.4589,78.4412,active,archdioceseofhyderabad.org,+91 40 2381 1234,Telugu; English,2,3
15,St. Jude's Shrine,Shrine,Catholic,,Vikarabad,"St. Jude’s Shrine Opp - Andhra Bank, Bus Stand Road Vikarabad,Vikarabad Dt. - 501 101, T.S.",17.4511,78.4988,active,archdioceseofhyderabad.org,+91 40 2789 1234,English; Telugu,2,2
16,Immaculate Conception Church,Parish,Catholic,,Secunderabad,"Immaculate Conception Church
H. No. 77/7, Vivekanandanagar Colony, Kukatpally Hyderabad - 500 072, T.S.",17.4367,78.5022,active,archdioceseofhyderabad.org,+91 40 2781 1234,English; Tamil; Telugu,3,4
17,St. Pius X Church(1997) - Nacharam Parish,Parish,Catholic,,Hyderabad,"St. Pius X Church
Bhavani Nagar, Street No. 4 H.No. 4-1-102/A, Nacharam Hyderabad - 500 076, T.S.",17.4111,78.5076,active,archdioceseofhyderabad.org,+91 40 2761 1234,Telugu; English,2,4
18,St. Theresa's Catholic Church,Parish,Catholic,,Hyderabad,"St. Theresa’s Church
H.No: 7-1-645/A, Erragada Sanathnagar, Hyderabad - 500 018, T.S.",17.4567,78.4355,active,archdioceseofhyderabad.org,+91 40 2381 4567,Telugu; English,2,4
19,St. Vincent de Paul Church,Parish,Catholic,,Secunderabad,"St. Vincent de Paul Church
H.No. 7-120, K. K. Basti Nedunoor, Kandukur Mandal R. R. Dt. - 501 359, T.S.",17.4335,78.528,active,archdioceseofhyderabad.org,+91 40 2782 5678,Telugu; English; Tamil,3,4
1CwneLiybVJOXseFPcIx,Don Bosco Shrine,Shrine,Catholic,Archdiocese of Hyderabad,Bandlaguda Jagir (Kismatpur),"Don Bosco Shrine,
Don Bosco Nagar P.O. Himayatsagar Road, Bandlaguda Jagir Hyderabad - 500 086, T.S.",,,active,https://www.archdioceseofhyderabad,To be updated,Telugu; English,2,4
1OgXEQONKBOXW1SuV5Nx,Grace Methodist Church,Parish,Methodist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
1xRCwMYKnzApTxkvZ2bd,CSI St. John's Church,CSI Church,CSI,,Secunderabad,"10-5-153/24C, E Maredpally Rd, East Nehru Nagar, Teachers Colony, East Marredpally, Secunderabad, Telangana 500026",,,active,To be updated,To be updated,English; Telugu,2,2
2,St. Joseph's Cathedral,Cathedral,Catholic,,Hyderabad,"St. Joseph’s Cathedral,
Gunfoundry, Hyderabad - 500 001, T.S.",17.3934,78.4762,active,archdioceseofhyderabad.org,+91 40 2320 2055,English; Telugu,2,6
20,St. Patrick’s Catholic Church(1800) - Garrison Parish,Parish,Catholic,,Secunderabad,"St. Patrick’s Church,
Mornington Road, Trimulgherry Secunderabad - 500 015, T.S.",17.4431,78.5032,active,archdioceseofhyderabad.org,+91 40 2780 1234,English,1,4
21,St. Peter’s Catholic Church(1972) - Bodhan Parish,Parish,Catholic,,Bodhan,"St. Peter’s Church
Rakasipet, Bodhan Nizamabad Dt. - 503 185, T.S.",17.4811,78.4722,active,archdioceseofhyderabad.org,+91 40 2775 1234,English; Telugu,2,4
22,St. John’s Catholic Church(1972) - Ramachandrapuram,Parish,Catholic,,Hyderabad,"St. John’s Church
Ramachandrapuram, BHEL, Hyd Sangareddy Dt. - 502 032, T.S.",17.4011,78.5622,active,archdioceseofhyderabad.org,+91 40 2720 1234,Telugu; English,2,5
23,St. Michael's Catholic Church,Parish,Catholic,,Hyderabad,"St. Michael’s Church
203, Salarjung Colony, Tolichowki Road, Hyd - 500 008, T.S.",17.3822,78.4011,active,archdioceseofhyderabad.org,+91 40 2351 1234,Telugu; English,2,3
