church_id,church_name,day,time,language,note
0P4SPNjqyJvo0DVvsqVL,Calvary Methodist Church,Sunday,4:00 PM,English,
0P4SPNjqyJvo0DVvsqVL,Calvary Methodist Church,Sunday,"6:00 AM, 9:00 AM, 12:00 PM, and 6:00 PM",Telugu,
1,St. Mary's Basilica,Sunday,06:00 AM,Tamil,
1,St. Mary's Basilica,Sunday,07:00 AM,English,
1,St. Mary's Basilica,Sunday,08:15 AM,Telugu,
1,St. Mary's Basilica,Sunday,09:30 AM,English,
1,St. Mary's Basilica,Sunday,09:15 AM,English,(Children’s Mass)
1,St. Mary's Basilica,Sunday,11:30 AM,English,
1,St. Mary's Basilica,Sunday,05:00 PM,English,
1,St. Mary's Basilica,Sunday,06:00 PM,English,
1,St. Mary's Basilica,Weekday,12:00 PM,English,(Every Friday)
1,St. Mary's Basilica,Saturday,12:00 PM,English,Saturday)
10,St. Alphonsus Catholic Church,Sunday,07:30 AM,Telugu,
10,St. Alphonsus Catholic Church,Sunday,09:00 AM,English,
10,St. Alphonsus Catholic Church,Sunday,06:00 PM,English,
11,St. Thomas Catholic Church,Sunday,08:15 AM,English,
12,Infant Jesus Shrine,Sunday,06:30 AM,Telugu,
12,Infant Jesus Shrine,Sunday,07:30 AM,Telugu,
12,Infant Jesus Shrine,Sunday,10:00 AM,English,
13,Holy Trinity Church,Sunday,07:00 AM,Telugu,
13,Holy Trinity Church,Sunday,08:30 AM,English,
13,Holy Trinity Church,Sunday,06:00 PM,English,
14,Our Lady of Lourdes Church,Sunday,06:45 AM,Telugu,
14,Our Lady of Lourdes Church,Sunday,08:45 AM,English,
14,Our Lady of Lourdes Church,Sunday,06:15 PM,English,
16,Immaculate Conception Church,Sunday,06:30 AM,English,
16,Immaculate Conception Church,Sunday,08:00 AM,Telugu,
16,Immaculate Conception Church,Sunday,08:00 AM,English,(Children’s Mass)
16,Immaculate Conception Church,Sunday,06:00 PM,English,
17,St. Pius X Church(1997) - Nacharam Parish,Sunday,07:00 AM,Telugu,
17,St. Pius X Church(1997) - Nacharam Parish,Sunday,08:45 AM,English,(Children’s  Mass)
17,St. Pius X Church(1997) - Nacharam Parish,Sunday,09:00 AM,English,
17,St. Pius X Church(1997) - Nacharam Parish,Sunday,06:00 PM,English,
1CwneLiybVJOXseFPcIx,Don Bosco Shrine,Sunday,07:00 AM,Telugu,
1CwneLiybVJOXseFPcIx,Don Bosco Shrine,Sunday,09:00 AM,English,
1CwneLiybVJOXseFPcIx,Don Bosco Shrine,Sunday,06:30 PM,English,
1CwneLiybVJOXseFPcIx,Don Bosco Shrine,Sunday,11:00 AM,Telugu,Khanapur  (Sub-station)
1OgXEQONKBOXW1SuV5Nx,Grace Methodist Church,Sunday,09:00 AM,English,
1OgXEQONKBOXW1SuV5Nx,Grace Methodist Church,Sunday,11:00 AM,Telugu,
1xRCwMYKnzApTxkvZ2bd,CSI St. John's Church,Sunday,09:00 AM,English,
1xRCwMYKnzApTxkvZ2bd,CSI St. John's Church,Sunday,11:00 AM,Telugu,
2,St. Joseph's Cathedral,Sunday,06:30 AM,English,
2,St. Joseph's Cathedral,Sunday,08:00 AM,English,
2,St. Joseph's Cathedral,Sunday,09:00 AM,English,(Children’s  Mass)
2,St. Joseph's Cathedral,Sunday,09:15 AM,Telugu,
2,St. Joseph's Cathedral,Sunday,11:30 AM,English,
2,St. Joseph's Cathedral,Sunday,06:00 PM,English,
21,St. Peter’s Catholic Church(1972) - Bodhan Parish,Sunday,07:30 AM,Telugu,
21,St. Peter’s Catholic Church(1972) - Bodhan Parish,Sunday,09:00 AM,English,
21,St. Peter’s Catholic Church(1972) - Bodhan Parish,Sunday,09:45 AM,English,(Children’s  Mass)
21,St. Peter’s Catholic Church(1972) - Bodhan Parish,Sunday,06:00 PM,English,
23,St. Michael's Catholic Church,Sunday,07:30 AM,Telugu,
23,St. Michael's Catholic Church,Sunday,09:15 AM,English,
23,St. Michael's Catholic Church,Sunday,06:00 PM,English,
24,St. Joseph’s Catholic Church (1994) - Bolarum Parish,Sunday,09:00 AM,Telugu,
24,St. Joseph’s Catholic Church (1994) - Bolarum Parish,Sunday,05:00 AM,Telugu,(Bandlaguda Sub-station)
25uLOePJsTzjdEprbdua,Calvary Temple,Sunday,09:00 AM,English,
25uLOePJsTzjdEprbdua,Calvary Temple,Sunday,11:00 AM,Telugu,
26,St. Anthony's Catholic Church,Sunday,06:00 AM,Tamil,
26,St. Anthony's Catholic Church,Sunday,07:30 AM,Telugu,
26,St. Anthony's Catholic Church,Sunday,09:00 AM,English,
26,St. Anthony's Catholic Church,Sunday,06:00 PM,English,
26,St. Anthony's Catholic Church,Weekday,06:30 PM,Tamil,Tuesday’s
28,Our Lady of Perpetual Help(2003) - Jagadgirigutta Parish,Sunday,07:00 AM,Telugu,
28,Our Lady of Perpetual Help(2003) - Jagadgirigutta Parish,Sunday,09:15 AM,Telugu,
28,Our Lady of Perpetual Help(2003) - Jagadgirigutta Parish,Sunday,05:30 PM,English,
29,Our Lady of Perpetual Help Church(1986) - Seethaphalmandi,Sunday,06:30 AM,Telugu,
